date,Q_i,Q_C,Q_L,T_i,T_C,T_L
1978-10-30,256.3707820913411,386.63983829917606,643.0106203905171,,,
1978-10-31,288.71469879403,372.1904226544397,660.9051214484698,,,
1978-11-01,321.46855714831315,368.99991868181263,690.4684758301257,,,
1978-11-02,354.9265481242143,362.0162097269134,716.9427578511277,,,
1978-11-03,359.27129421051126,358.9650726181666,718.2363668286778,,,
1978-11-04,348.12090712562843,338.00069915286656,686.1216062784949,,,
1978-11-05,356.6973469683266,330.4640879542079,687.1614349225345,,,
1978-11-06,371.5376268596278,331.7791380012735,703.3167648609012,,,
1978-11-07,381.06442891986575,328.79059067718697,709.8550195970527,,,
1978-11-08,369.2092708286922,324.5642830928649,693.7735539215571,,,
1978-11-09,377.9174073110311,328.2517756560359,706.169182967067,,,
1978-11-10,376.1234264768258,315.84598654882063,691.9694130256464,,,
1978-11-11,389.2137539689842,319.7619631607762,708.9757171297604,,,
1978-11-12,393.7859304347085,307.8463399187698,701.6322703534784,,,
1978-11-13,408.6606249538959,313.78570785873524,722.4463328126311,,,
1978-11-14,415.45714840224224,308.8350666383725,724.2922150406148,,,
1978-11-15,418.916355292424,306.08907214257704,725.005427435001,,,
1978-11-16,420.0487564203901,295.0347570437683,715.0835134641584,,,
1978-11-17,421.8628816546175,265.8692335966647,687.7321152512823,,,
1978-11-18,494.242630495358,107.3754774072,601.618107902558,,,
1978-11-19,367.9107470326257,62.27425651756154,430.1850035501872,,,
1978-11-20,459.5774348436439,181.5129327463644,641.0903675900083,,,
1978-11-21,449.50265587377123,202.06891650653333,651.5715723803046,,,
1978-11-22,455.35945860742936,218.9048389997857,674.2642976072151,,,
1978-11-23,447.31010298005333,216.62866830677316,663.9387712868265,,,
1978-11-24,448.66073049535805,38.7789474072,487.43967790255806,,,
1978-11-25,429.47951049535806,38.7789474072,468.25845790255806,,,
1978-11-26,416.30666014094675,104.54004336690052,520.8467035078472,,,
1978-11-27,462.243859817051,136.78321647186783,599.0270762889188,,,
1978-11-28,427.8739948649293,127.80209693735216,555.6760918022815,,,
1978-11-29,439.5479647765977,158.49400921730197,598.0419739938997,,,
1978-11-30,429.3187264833764,151.1541119503515,580.4728384337279,,,
1978-12-01,418.70562595370274,140.14303972715757,558.8486656808603,,,
1978-12-02,430.29710579963853,180.67075326869647,610.967859068335,,,
1978-12-03,448.64609573049086,189.17912679061237,637.8252225211032,,,
1978-12-04,357.51491049535804,38.7789474072,396.29385790255805,,,
