date,flow_01425000,flow_01417000,inflow_delLordville,consumption_delLordville,flow_lordville,flow_delTrenton,flow_outletSchuylkill,cannonsville_storage,pepacton_storage,cannonsville_storage_pct,pepacton_storage_pct
1983-06-10,565.1833685792642,64.63,658.45166,0.17206950464194462,1288.0929590746223,5629.39579416688,1554.22705120528,95700.0,140118.9544521211,100.0,99.94219290450863
1983-06-11,481.6075098134688,64.63,652.2497,0.17206950464194462,1198.3151403088268,6306.951276677252,1402.225909040694,95700.0,140129.73072109744,100.0,99.94987925898533
1983-06-12,411.20115,64.63,586.48175,0.17206950464194462,1062.140830495358,5346.673099422725,1255.5741523033457,95675.7248422997,140049.1205152727,99.97463410898611,99.8923826785112
1983-06-13,392.81503717711155,64.63,543.9265,0.17206950464194462,1001.1994676724697,4531.934573769881,1185.28495633343,95700.0,140112.14347755435,100.0,99.93733486273491
1983-06-14,386.01961276201763,64.63,507.17974999999996,0.17206950464194462,957.6572932573756,4340.718024310069,1158.1589636389544,95700.0,140132.15570634292,100.0,99.95160892035871
1983-06-15,341.4273509777092,64.63,591.33344,0.17206950464194462,997.2187214730673,3985.3890332138485,1221.5162064327665,95700.0,140140.7883616813,100.0,99.9577663064774
1983-06-16,1125.6368141976,193.89,539.45795,0.17206950464194462,1858.8126946929578,3699.6059076954,1066.955842878117,95003.120349877,140020.62807654,99.2718080980951,99.87205996900141
1983-06-17,167.74864,209.90231,1051.65,0.17206950464194462,1429.1288804953583,3388.3712290159806,1020.7523638212446,95394.73144073707,139959.95328326558,99.68101508958942,99.82878265568158
1983-06-18,555.8034737036,211.13825699999998,715.7578,0.17206950464194462,1482.527461198958,3594.3926917264394,902.8371814340002,95346.83613445007,139960.7246871568,99.63096774759673,99.82933287243708
1983-06-19,488.3616537036,224.652394,901.1785,0.17206950464194462,1614.0204781989578,4315.932335922826,1430.8538113179056,95455.66598019873,139694.86546194323,99.74468754461728,99.63970432378262
